label,title,content
1,Oxford School of Drama, The Oxford School of Drama is a prestigious drama school in the United Kingdom the only professional drama school in Oxfordshire. It is based at Wootton ten miles north of OxfordThe School has three-year diploma courses a one-year course leading to a certificate and also teaches six-month foundation courses in Acting and Musical Theatre; all are validated by Trinity College London.The School is governed by a board of trustees which includes Roger Ainsworth Michael Codron and Thelma Holt.
9,Parvanachis ostreicola, Parvanachis ostreicola is a species of sea snail a marine gastropod mollusk in the family Columbellidae the dove snails.
2,Agnes Ravatn, Agnes Ravatn (born 8 February 1983 in Ølen) is a Norwegian novelist columnist and journalist.She debuted in 2007 with the novel Veke 53 ('Week 53').Ravatn is a columnist and journalist for Nynorsk newspaper Dag og Tid. A series of essays for the publication were released in 2009 as Stillstand ('Standstill'). In 2011 came her second books of essays Folkelesnad on Norwegian magazines.
3,George Rooks, George Brinton McClellan Rooks (born George Brinton Mc Clellan Ruckser) (1863–1935) was a Major League Baseball outfielder. He played for the Boston Beaneaters of the National League in five games during the 1891 baseball season. His grandson Lou Possehl would later play in the Majors.
8,Frazeysburg Ohio, Frazeysburg is a village in Muskingum County Ohio United States along Wakatomika Creek. The population was 1326 at the 2010 census.Frazeysburg is home to the world's largest apple basket which is located on the Longaberger homestead.
13,Magical Meow Meow Taruto, Magical Meow Meow Taruto (魔法少女猫たると Mahō Shōjo Neko Taruto) is a Japanese manga & anime television series. The series centers on the exploits of a race of pet cats drawn as catgirls and the occasional catboy.
10,Epidendrum serpens, Epidendrum serpens is a sympodial pseudobulbous orchid that grows among lichens on trees near the tree line at altitudes of 1.6-3.5 km in Peru and Ecuador including the states of Azuay and Pichincha.
11,Live at The Siren, Live at The Siren is a live album released by the Canadian hard rock band Harem Scarem. The album features two studio songs and was only released in Japan.
5,MLW RS-18, The MLW RS-18 was an 1800 hp (1340 kW) diesel-electric locomotive built by Montreal Locomotive Works between December 1956 and August 1968. It replaced the RS-10 in MLW's catalogue and production totalled 351 locomotives to eight customers. It was the Canadian version of the ALCO RS-11 although MLW did manufacture the RS-11 for Ferrocarriles Nacionales de México.Canadian National Railway by far the largest buyer of the RS-18 continued to specify the long hood as the front.
3,Howard Fuller, Howard Fuller (born 31 July 1992 in Worcester Park Surrey) is a British auto racing driver. He currently drives in the British Touring Car Championship for RCIB Insurance Racing.
6,Teeple Barn, Teeple Barn was a historic structure in Elgin Illinois. It was a sixteen-sided barn designed by W. Wright Abell for Lester Teeple a dairy farmer. In 1979 it was added to the National Register of Historic Places as the only surviving sixteen-sided barn in Illinois. The barn was destroyed on May 27 2007 following a storm.
1,Houndsfield Primary School, Houndsfield Primary School is a primary school located in Edmonton. The school was founded in 1903.
0,The Centre for Applied Genomics, The Centre for Applied Genomics is a genome centre in the Research Institute of The Hospital for Sick Children and is affiliated with the University of Toronto. TCAG also operates as a Science and Technology Innovation Centre of Genome Canada with an emphasis on next-generation sequencing (NGS) and bioinformatics support.
6,Hamburger Mary's, Hamburger Mary's is a gay-themed and LGBT-friendly burger restaurant chain that started in San Francisco California in 1972. Their motto is: an open-air bar and grill for open-minded people and the eateries are often in gay-centric neighborhoods. The menu items include friskily named items and the decor of the restaurants is flamboyant. Cross-dressing is common and the Mary in the name is a reference to the slang descriptor Mary used for gay men as far back as the early 1900s.
10,Sideritis hyssopifolia, Sideritis hyssopifolia hyssop-leaved mountain ironwort. A 40 cm high shrublet with narrow pointed leaves. The flowers (1 cm) are borne in dense cylindrical clusters from broad spiny-toothed bracts. The calyx also has spiny teeth. Flowers June-August.
0,Computer Sciences Corporation, Computer Sciences Corporation (CSC) is an American multinational corporation that provides information technology (IT) services and professional services. Its headquarters are located in Falls Church Virginia. CSC has 80000 employees in over 70 countries. Its clients include commercial enterprises and the U.S. federal government as well as state local and non-U.S.
8,Bąków Podkarpackie Voivodeship, Bąków [ˈbɔnkuf] is a village in the administrative district of Gmina Pysznica within Stalowa Wola County Subcarpathian Voivodeship in south-eastern Poland. It lies approximately 7 kilometres (4 mi) north-west of Pysznica 5 km (3 mi) north-east of Stalowa Wola and 66 km (41 mi) north of the regional capital Rzeszów.The village has a population of 190.
6,Broadcasting Tower Leeds, Broadcasting Tower is a university building in Broadcasting Place in Woodhouse Lane Leeds England. Adjacent to other university buildings it forms part of Leeds Metropolitan University housing its Faculty of Arts Environment and Technology as well as some student flats and is close to the main campus of The University of Leeds and other academic institutions.
0,Artisan Records, Artisan Records is a British record label owned by the Indie rock band fin_(band) based in Wandsworth South West London. It was founded in 2011 by the band fiN in order to self release the bands 7 Inch singles and Debut album Life Is Wasted On The Living.
10,Leocereus, Leocereus bahiensis is a species of cactus and the only species of the genus Leocereus.
11,Live from the Stage of the Roanoake Bluegrass Festival, Live From The Stage Of The Roanoake Bluegrass Festival is a live album by the progressive bluegrass band Country Gentlemen recorded in 1967.
1,Bangladesh Institute of Marine Technology, Bangladesh Institute of Marine Technology (BIMT) a technical institute of higher learning was established in 1958. The main function of this institute is to offer a number of industry specific courses to produce highly competent professionals for the maritime industry. Its permanent campus is strategically located in Bandar Narayanganj popularly known as the home base of one of the centers for maritime industry in Bangladesh.
4,Bob Beauprez, Robert L. Bob Beauprez (born September 22 1948) is an American politician who was a Republican member of the United States House of Representatives representing the 7th Congressional District of Colorado.Beauprez was the Republican nominee for governor of Colorado in 2006 and was endorsed by outgoing governor Bill Owens. He lost to Democratic Party nominee Bill Ritter in the November 7 election 56 percent to 41 percent. Beauprez is married with four children.
9,Nyridela, Nyridela is a genus of moths in the family Arctiidae.
1,Doane Stuart School, The Doane Stuart School is an independent coeducational school in Rensselaer New York. School materials indicate a low student to teacher ratio and a rigorous college preparatory curriculum. The school also has emphases on community service and interfaith tolerance. The school is a member of the National Association of Episcopal Schools and the National Association of Independent Schools.
7,Lake Kubija, Kubija is a lake of Estonia.
3,John Legg (footballer), John Legg is a former association football player who represented New Zealand at international level.Legg made his full All Whites debut in a 3-5 loss to Australia on 5 November 1967 and ended his international playing career with 12 A-international caps and 2 goals to his credit his final cap an appearance in a 1-1 draw with Macao on 5 November 1975.
10,Lagerstroemia loudonii, Lagerstroemia loudonii (Thai: เสลา Salao) is a species of flowering plant in the Lythraceae family. Its origin is in Burma and Thailand where it is found in the wild in Isan and the East down to Central Thailand.Salao is a medium-sized tree growing up to a height between 10 and 20 m. It is quite common as a decorative tree in the parks of Thailand owing to its beautiful bunches of pink flowers.
6,Bolueta Towers, The Bolueta Towers (Bolueta Dorreak in Basque) is a residential complex under construction in Bilbao Spain.
10,Acer miaotaiense, Acer miaotaiense (syn. Acer miyabei subsp. miaotaiense (P.C.Tsoong) E.Murray) is a species of maple native to China in southeastern Gansu southwestern Henan northwestern Hubei southern Shaanxi and Zhejiang.It is a medium-sized deciduous tree growing to 25 m tall with rough grey-brown bark. The leaves are three-lobed 4–9 cm long and 5–8 cm broad with a 6–7 cm long petiole; the petiole bleeds white latex if cut.
10,Dombeyoideae, Dombeyoideae are a subfamily of the Malvaceae in the wide circumscription as proposed by the APG. Most of the plants placed here were once assembled with more or less related genera in the paraphyletic Sterculiaceae; a lesser number were placed in the Tiliaceae which were also not monophyletic.The Dombeyoideae were originally described by Carl Beilschmied in 1833.
11,Wake Up! (John Legend and The Roots album), Wake Up! is a collaborative studio album by American R&B recording artist John Legend and hip hop band The Roots released September 21 2010 on GOOD Music via Columbia Records. It was produced by Legend with band members Ahmir Questlove Thompson and James Poyser and features guest appearances by CL Smooth Malik Yusef Common and Melanie Fiona among others.
1,Central Medford High School, Central Medford High School (formerly Medford Opportunity High School) is a public alternative high school in Medford Oregon United States. In 2010 the school moved from its original location on Earhart Street to its new location on Oakdale Avenue in Medford. It occupies part of the old South Medford High School (which is now located on Cunningham Avenue in Medford).
7,Mount Bates, Mount Bates is the highest point of Norfolk Island an external territory of Australia at 319 metres (1047 ft) above sea level.
0,Glidden (paints), The Glidden Company is a division of PPG Industries which is one of the largest paint manufacturers in North America. Its products are marketed under the brands Glidden for professional and consumer paints Flood for wood stains and Liquid Nails which is a contact adhesive. It is the third largest maker of paint in the United States.Glidden was purchased by British conglomerate ICI in 1986 which in turn was later acquired by Dutch conglomerate AkzoNobel in 2008.
7,Fericet River, The Arada River is a tributary of the Albac River in Romania.
0,Dataware Games, Dataware is a casual gaming developer and software developer and publisher of mini-game software such as Quad Quest series and children games Coloring Book.
10,Arneis, Arneis is a white Italian wine grape variety originating from Piedmont Italy. It is most commonly found in the hills of the Roero northwest of Alba where it is part of the white Denominazione di Origine Controllata e Garantita (DOCG) wines of Roero. It can also be used to produce DOC wines in Langhe. Arneis (literally: little rascal in Piemontese) is so called because it is regarded as a somewhat difficult variety to grow.
12,A Gentle Gangster, A Gentle Gangster is a 1943 black-and-white drama film directed by Phil Rosen and written by A. W. Hackel.
9,Myanmar snub-nosed monkey, The Myanmar snub-nosed monkey or Burmese snub-nosed monkey (Rhinopithecus strykeri) is a critically threatened species of colobine monkey discovered in 2010 in northern Burma (Myanmar). It was formally described as a novel species of Primate in 2011 based on its fur beard and tail.
13,Tex (novel), Tex is a novel by S. E. Hinton published in 1979. It was adapted to the film in 1982 which starred Matt Dillon. The book (like Rumble Fish and That Was Then This Is Now) takes place in the same universe as Hinton's first book The Outsiders but in a rural town called Garyville Oklahoma a fictional suburb of Tulsa.Tex and his older brother Mason live by themselves while their father tours the rodeo circuit. Tex is blissfully happy with his life.
3,Mohamed Ramadan (footballer), Mohamed Ramadan (born 4 April 1991) is a Swedish footballer of Lebanese descent who plays for HIF Akademi on loan from Helsingborgs IF as a striker.
2,Peter May (writer), Peter May (born December 20 1951) is a Scottish television screenwriter best-selling novelist and crime writer.
13,Abismoj, Abismoj (Abysses) is a 1923 novel written by Jean Forge the first he wrote originally in Esperanto. It describes and profoundly analyzes conflicts in the soul. Already there appear the greatest strengths of Forge's work the original form the figures themselves speak about themselves and about their problems; the form and the inventive narration style give this work important significance in Esperanto literature.
5,Phantom Corsair, The Phantom Corsair is a prototype automobile built in 1938. It is a six-passenger 2-door sedan that was designed by Rust Heinz of the H. J. Heinz family and Maurice Schwartz of the Bohman & Schwartz coachbuilding company in Pasadena California. Although sometimes dismissed as a failure because it never entered production the Corsair is regarded as anachronistic due to its futuristic features and styling cues such as faired-in fenders and a low profile.
1,Pascack Hills High School, Pascack Hills High School (PHHS) is a four-year comprehensive public high school one of two high schools that are part of the Pascack Valley Regional High School District in Bergen County New Jersey. PHHS serves the residents of both Montvale where the campus is located and the neighboring community of Woodcliff Lake.
12,Where Soldiers Come From, Where Soldiers Come From is a 2011 American documentary film directed by Heather Courtney. The film is an intimate look at the young men who fight our wars and the families and town they come from.
11,Nights Are So Long, Nights Are So Long is the first studio album by singer Michael Monroe released in 1987 through Yahoo! Records; a remastered edition was reissued in 2004 through Warner Music. It is Monroe's first post-Hanoi Rocks release with Yahoo! being the record label of Hanoi Rocks' then-manager Seppo Vesterinen. Save for three tracks written by Monroe the rest are mainly covers; his subsequently 1989 album Not Fakin' It would be the first to feature entirely original compositions.
9,Chloroclystis catastreptes, Chloroclystis catastreptes is a moth in the Geometridae family. It is found in Australia (Queensland New South Wales Victoria Tasmania South Australia and Western Australia).The wingspan is about 20 mm. Adults have a scalloped banded brown pattern on the wings.
6,Elm Hill Farm Historic District, Elm Hill Farm Historic District is a historic district on East Main Street east of the junction with Brookfield Road in Brookfield Massachusetts. The major contributing element to the district is the Elm Hill Farm complex one of the largest and most significant farms in the town for more than 100 years.
3,Walter Cornock, Walter Berkeley Cornock (1 January 1921 – 20 November 2007) was an Australian football goalkeeper and first-class cricketer. Born in Waverley Sydney New South Wales; he moved to the United Kingdom and played in the Football League for Rochdale and played first-class cricket for Leicestershire. He also saw active service in the navy in Africa during the Second World War.Cornock was born to an Australian father and English mother. His family returned to England while he was a child.
1,Morgan High School (McConnelsville Ohio), Morgan High School is a public high school in McConnelsville Ohio. It is the only high school in the Morgan Local School District.
8,Bala Tanu Rud, Bala Tanu Rud (Persian: بالاتنورود‎ also Romanized as Bālā Tanū Rūd; also known as Tanū Rūd) is a village in Otaqvar Rural District Otaqvar District Langarud County Gilan Province Iran. At the 2006 census its existence was noted but its population was not reported.
4,Alexander Thorburn, Alexander Alex Gibbon Gillion Gillan Thorburn (December 18 1836 – 1894) was a real-estate agent merchant and former Canadian politician. He served as a member of the Legislative Assembly of the Northwest Territories from 1888 until 1891. Prior to that he was a school trustee.
1,Popatlal Secondary School, Popatlal Secondary School (PSS) is a co-educational private secondary school in the north-eastern Tanzanian city of Tanga. It is one of the oldest schools in the city.
13,A Latin Dictionary, A Latin Dictionary (or Harpers' Latin Dictionary often referred to as Lewis and Short or L&S) is a popular English-language lexicographical work of the Latin language published by Harper and Brothers of New York in 1879 and printed simultaneously in the United Kingdom by Oxford University Press.
0,StormGeo, StormGeo AS (formerly Storm Weather Center AS) was founded in 1997 and is one of the largest privately held weather service providers worldwide. It provides meteorological services particularly to the offshore renewable energy shipping corporate enterprise and media industries. It has offices in Norway United States Great Britain UAE Sweden Azerbaijan Brazil Denmark Germany and Singapore.
12,Hot Rod Girls Save the World, Hot Rod Girls Save The World is a 2008 B-Movie written and directed by D.A. Sebasstian.
9,Halgerda wasinensis, Halgerda wasinensis is a species of sea slug a dorid nudibranch shell-less marine gastropod mollusks in the family Discodorididae.
5,Mitchell Kittiwake, The Mitchell Kittiwake is a British single engine sporting aircraft designed for amateur building. Plans were available for both single-seat and two-seat versions but only four were constructed.
8,Seyyed Baqer Kermanshah, Seyyed Baqer (Persian: سيدباقر‎ also Romanized as Seyyed Bāqer) is a village in Bivanij Rural District in the Central District of Dalahu County Kermanshah Province Iran. At the 2006 census its population was 26 in 4 families.
10,Diospyros curranii, Diospyros curranii is a tree in the Ebenaceae family. It grows up to 30 metres (100 ft) tall. The fruits are roundish up to 2.5 cm (1 in) in diameter. Habitat is mixed dipterocarp forests from sea-level to 900 metres (3000 ft) altitude. D. curranii is found in Indochina and from west Malesia to the Philippines.
7,Lake Thunderbird, Lake Thunderbird is a reservoir located in Norman Oklahoma. The lake was constructed between 1962 and 1965 for the purpose of providing municipal water to the nearby communities of Del City Midwest City and Norman. It is formed by an earthfill embankment (dam) 7300 feet (2200 m) long and up to 144 feet (44 m) high on the Little River.
